item_id,rater_row_id,repo,file,anchor_line,decl_name,detector_category,gold_verdict,gold_category,gold_source,detector_result,rater_A_verdict,rater_A_category,rater_B_verdict,rater_B_category,other_issues,adjudicator_notes,anchor_text,context
  195 |                     leadingContent = {
  196 |                         Icon(painterResource(R.drawable.language_24px), contentDescription = null)
  197 |                     },
  198 |                     modifier = Modifier.clickable { showLanguageDialog = true }
  199 |                 )
  200 | 
  201 |                 ListItem(
  202 |                     headlineContent = {
  203 |                         Text(stringResource(R.string.settings_notif_lead_time))
  204 |                     },
  205 |                     supportingContent = {
  206 |                         ExposedDropdownMenuBox(
  207 |                             expanded = notifLeadTimeExpanded,
  208 |                             onExpandedChange = { notifLeadTimeExpanded = it },
  209 |                             modifier = Modifier.fillMaxWidth()
  210 |                         ) {
  211 |                             OutlinedTextField(
  212 |                                 value = stringResource(notificationLeadTime.labelRes),
  213 |                                 onValueChange = {},
  214 |                                 readOnly = true,
  215 |                                 trailingIcon = {"
pilot-0253,r0281,nemoXdev__CryptoSafe,nemoXdev__CryptoSafe/app/src/main/java/com/cryptosafe/app/MainActivity.kt,360.0,CryptoSafeApp,text_truncation_scaling,ISSUE,text_truncation_scaling,agreed,TP,ISSUE,text_truncation_scaling,ISSUE,text_truncation_scaling,,,"overflow = TextOverflow.Ellipsis,","  348 |                 title = {
  349 |                     val isBoxes = vm.selectedTab == 1 && isMainScreen
  350 |                     val isCreateBox = vm.mode == Screen.CreateBox
  351 |                     val isSettings = vm.mode == Screen.Settings
  352 |                     val isBoxSettings = vm.mode == Screen.BoxSettings
  353 |                     if (vm.mode == Screen.Chat) {
  354 |                         
  355 |                         Row(verticalAlignment = Alignment.CenterVertically) {
  356 |                             Text(
  357 |                                 chatBox?.name.orEmpty(),
  358 |                                 fontWeight = FontWeight.Bold,
  359 |                                 maxLines = 1,
  360 |                                 overflow = TextOverflow.Ellipsis,
  361 |                                 modifier = Modifier.weight(1f, fill = false)
  362 |                             )
  363 |                             Text(
  364 |                                 "" (${chatMessageCount} ${LocalizationManager.getString(""messages"")})"",
  365 |                                 fontWeight = FontWeight.Bold
  366 |                             )
  367 |                         }
  368 |                     } else if (isBoxes || isCreateBox || isSettings || isBoxSettings) {
  369 |                         Row(verticalAlignment = Alignment.CenterVertically) {
  370 |                             Icon(
  371 |                                 painter = painterResource(
  372 |                                     when {
  373 |                                         isCreateBox -> com.cryptosafe.app.R.drawable.ic_add_box
  374 |                                         isBoxSettings || isSettings -> com.cryptosafe.app.R.drawable.ic_settings
  375 |                                         else -> com.cryptosafe.app.R.drawable.ic_box
  376 |                                     }
  377 |                                 ),
  378 |                                 contentDescription = null,
  379 |                                 modifier = Modifier.size(24.dp),
  380 |                                 tint = Color.Unspecified
  381 |                             )
  382 |                             Spacer(Modifier.width(6.dp))
  383 |                             Text(
  384 |                                 screenTitle,
  385 |                                 fontWeight = FontWeight.Bold,
  386 |                                 maxLines = 1,
  387 |                                 overflow = TextOverflow.Ellipsis
  388 |                             )
  389 |                         }
  390 |                     } else {
  391 |                         Text(
  392 |                             screenTitle,
  393 |                             fontWeight = FontWeight.Bold,
  394 |                             maxLines = 1,
  395 |                             overflow = TextOverflow.Ellipsis
  396 |                         )
  397 |                     }
  398 |                 },
  399 |                 navigationIcon = {
  400 |                     if (!isMainScreen) {"
